Comment,Abusive
____,
Super __,No
Jai KCR ____,No
________,
Jai BJP __,No
Malla madda kudipovadam thapa em vundadhu,Yes
Mg,Yes
Madda kudustharu kcr ki vote vesthey,Yes
______,
"Malli Kcr ravali, telangana moga gudupali",Yes
Em vunnarra asalu jobs leka andaru chastunte marara enka,No
Instagram  _________  poye roju daggarlo undhi____,No
Ts lo car vacchinaa hastam vacchina erripukulayyedi akkada prajale______,Yes
Jai kcr______,No
__,
Jai congress jai revanth reddy __________________________,No
Moddala revanth moddala congress__,Yes
Congress,No
__,
Modda kudavalante car ki vote veyandi,Yes
____ _______ ____ ______ ______ _______ _______ _________ __ _________ _________ _______ ____ __________ ____ _____ __________ _ _______ _____ _ _________ _____ ____ __ ____ _ ______ ______,
Bjp kavala __,No
Do you know..Jagananna song..__,No
Only KCR,No
____,
,
____,
Jai Congress ____,No
Nakodaka ni amma anna is king,Yes
__________,
Velli vadi sulli kuduv,Yes
Mali kcr vasthe modakudvali esari ani amadegthadu swachamayna deshani modagudpthadu____,Yes
,
jai congress party,No
Correct ga set aiynidhi e pata scamgress ki,No
Enti bro ma jagan mowa song kannana ____,No
________________________,
______________________________________,
______________________________________________,
______________________________,
______________________________________,
Jai kcr .malli trs gelusthundhi.____,No
"While chiru  hearing this song, ______",No
,
Jai congress,No
__________,
________,
__,
Car osthe Moddakudavali __,Yes
Meru enni songs chesina ma jaganna song beat cheyyaleru ____,No
_________ ______ ______,
Evarnaina gelipinchandi develop ayyela chuskondi jagrattaga vote veyandi ma Andhra vallala duck out kakandi __,No
______ ______ ____ __________,
_ ____ ______,
10 lakhs Appu kavala,No
Anna  ma AP kuda e song cheyandi pls,No
,
Worst,No
JAGAN MAMA song ni beat chese song mathram raadu raaledu,No
Trs gaani guddha naaku ra adminu__,Yes
Telangana appuulu povadam kavali,No
Idhi kavalante kcr povali,No
Jai revanth Reddy,No
____,
Jai congress ____,No
Anna AP ke kuda oka song anna Jai ysrcp Jai Jagan anna,No
Moddala car,Yes
JAI CONGRESS ___________________,No
They paid no,No
____enna creativity,No
Jai congress,No
Only kcr only car,No
______ _______ ____ ______ ____ _____ _ _____ ______ __ ______ ___________ _ ______ _____,
KCR,No
Jai.. congress.....______,No
Thala kindhula thappassu chesina KCR Gelavadu Ega ______,No
__,
haha,No
"Ee song muchata pakkana pedthe .. places guys think twise____specially unemployed students..nen 2times kcr ki support cheshna ...nammakam poindhi __ complete ga .,malli okasari Congress ki support chedham guys emantaru____",No
"Dalitha CM kavali, 3 acres ichae nayakudu kavali, 1lakh jobs ichae nayakudu kavali",No
nee pranam povala aitey brs ki vote veyi,No
Vala gurinchi vale chepukunatu vundi song ____,No
Ma ap kantey.. Ts politics yama jooru ga saaguthunnai..__,No
Jai Reventh Reddy ____,No
Nee akka kaavali KCR ravali nee akka ni dengaali __,Yes
Hyd ni abhivruddi chesindi CBN kcr ani ana kandi,No
__ bjp,
Edaina jaga nanna song vibe tarwate,No
Kavle,No
Jai Congress,No
Congress ke na vote pakka,No
Likeer stat,No
Ra,No
Lanja koduka,Yes
Only congress he,No
Free scheme money janala dagara tisukoone money aa...free ga tisukoonte tarvata roju petrol rate lu kirana rate lu current bill lu anni perugutaye,No
Movie songs_ political songs_,No
Jai ho,No
________,
______,
______,
Velli kcr ..... Gudavandi puka__,Yes
Political view: no one song cannot beat the Ys jagan song ________jagananna jagananna jagamantha neevi ________,No
A erri puku ra edhi edit chesina pukunakoduku,Yes
__,
Vadi song congress ki pettarentra,No
Jai KCR,No
Mem mg gudali __,Yes
______ ______ ___ _________ __ _______ __,
Valu morning nuchi work chesi tide aipotaru bro ardham chesuko nuve intlo chala works untai,No
Amma :  ituvanti kodukulni em antaro thelusa...... Sanyasi kodukulu antaru ____,No
_____ ____ ____....__,
Vachindaya scientists __,No
New mummy s__,No
____,
Bathike vunava bro inka __,No
Muddi kindhiki antha age vacchina enka mummyney amlet vey ani adigey kodukulanu yemantaro thelusa shathagani kodukulu antaru __,No
____,
Iyoo Papamu ____,No
________,
Amma gaaru Chill avutunnaru gaa______,No
Endhi ra ayya nuvvu okkate sari ammala paina vesav ____,No
Hey Shekar ____,No
Amma lekapotey nuvu ekkada unnav,No
Epppudu antha mummmy laki range maaripoyindi.. Kinda meena oopu mummy thopu... __,No
______ mummy mi mummy____,No
"Natanam_ to Omlet _: Nalla goggles pettukunna prathiodu, natanam star kaaledu rareyy__",No
Amlet tine antha em peekinav bro nv __,No
Mom be like: nenu meeku dorakanuuuu...nenu andanantha etthulo unnanu______,No
____,
________,
________,
__,
____,
Natanam star__,No
Ma chinna papa kuda ilane antundi somari potulu mummy antundi daniki Inka 6 years________________________,No
Mummy headphones tesi pakkaku petanivu roti karra erigipodi ________,No
Nuve esuko po ____________,No
____________,
__________,
Bro me mummy kabathi m analey m mummy nen anadam viniuntey spot lo sampesthundey __,No
Amma be like: vidini 9 months carry chesi waste ipoindhi ga chetha gadu______,No
Ma amma chesthe  brother...................____,No
Dnt make stupid jokes regarding mom without mom we are zero,No
______,
Seeda two eggs tisuko vaatini pagalagotti oka ginne lo vaatini vesukuni uppu karam ullipayalu pachi mirchi kalupuni penam meeda Nune vesukuni omlette vesuko ________,No
________,
Mi Mummy Aa Nen Sister Anukuntiga ra __,No
________,
__,
__________,
______,
Anna ni video omlete varuku vasthundi..... __,No
__________,
________,
____,
____,
________,
,
Nuvvu em pikutinnav vesukoni thinu thanaki nuvvu omlette vesteney thinttunda,No
"I will support to u mom only,",No
____,
____,
Evdra nuvvu Natanam star fan va,No
Intha sodhi minge badhulu omlet cheskodam nerchukocchu kadha mowa ____,No
Vesukovachu kadha abbaa ammaki kuda okati vesi evvochu kadha,No
Rey evadra eedu mummy antunadu omlet antunadu __,No
"Bro e video ma Ammaki chuyisthe, baitiki gunji chempa pagal kottali antundhi__",No
"Mummy lu shata gani mummy lu aithey ,aah shata Gallam Maname avutham kadha bro __",No
______,
Anduku broo ee sahasam repu malli aakali tho undalli,No
Comedy kabattti batikipoyav bro lekapothey troll chesi guddha  chimpetollu ninnu______,Yes
______,
Hmm ______ _______ ____ ______ _____ ______... _________ ______ .._______ ______... _____ _____ ________ __________ ....____ ________ __________________......,No
______,
Ni videolu edivaraku osthunai tlusa?,No
Most relatable__,No
Bro me amma alaga undhi emo.ma.amma mutton chesedhe payasam ga,No
________ nenu kuda cheyanu,No
______,
____,
__reel iyna tarvtha nii future kanpisthunadhi le bro,No
__,
Sare Anna,No
Niku chatakadu vasukovadaniki __,No
______,
Natanam star____ni copy kottinav kadaa bro,No
.usheker.kodangal ____,
______,
Niku undi,No
____________,
hahahaha epic ____,No
Actually ammailaku kadhu kodukulaki first vantalu nerpinchali,No
Nv mi Amma mata vinaledhemo amaina pani chepthe.andhuke chupisthundhi ____. good,No
Poora emanna chesko antam,No
__________,
__,
Mummy  like : sathenaithe nuvve vesukora ____________,No
Amma meeru marara ____,No
Sathakani dialogue of the decade,No
Enka mereppudu amma ki chesi pedtharu haa I hate  u babu,No
__,
__________,
Vintay neek vunta dhi raa Chari ______,No
__________,
________,
______,
____,
________,
Karthika masam kadha ____,No
Pekainav ley bro aunty pakana slippers unaye chusko jagratha __,No
____,
__________,
________,
Neku undi ra. neku undi....,No
______,
,
Mammy lu antara babu __,No
Nuvu ame chastunvu bro,No
Mammy adugu appudu nuvu ame chastunvu bro,No
Bagupadu  anta nuvu chastava bro nuvu,No
Mammey ______,No
__,
O ...........................,
________,
__,
Nuvvu veskkovachu kadha  Neeku chathaithey � Mari  Ninnu emi anali bro ?,No
______,
Bro nice video ________,No
________________,
Nuvu mundhu pelli chusuko ni pellam vachi Ani cheshi pedathadhi __,No
______,
________,
__,
._kumar_,
________________,
2k mom boltey,No
Intha vage badhulu omlet vesukodam nerchukunte ammaki kuda vesi pettachu ga ____,No
__,
________,
_______ ____ _____ ____ ______,
AA lanti mummy dhorakadam adhurstam bro ______ alla annaku,No
________,
______,
Truee__,No
__ common dialogues,No
__,
Same bro,No
Emotional Damage maawa ____,No
Ganji kuda poyav raa antaru bro,No
Araganta chadivithe kaani ardham kaale......__,No
Literally same __,No
Nijame bro.,No
Sad reality __,No
"Andharki inthena aithe, na okkadike anukunna____",No
Hammayya Naku okkadike Ila jaruguthondi badha padda mowa.. ______,No
Same__,No
________,
Amma eniii aninna kani Amma Amma nee we can't replace her position __she scold me like Munda kodka ...badcow .. still lot words are there after marriage we can't listen that words ....ndhuke eppude amma chethiloo thanuluu tinnandi thitluu thitinchukondii . Enjoy ____,Yes
Same ____. Telugu  my mom say ni pelam vastey. Inka mammalni m  chustav,No
__,
______,
__,
Vasthavam bruh __,No
______,
__,
Yaaa,No
Adi universal dialouge____,No
__,
Same,No
__,
Hahaha,No
Evanni common a mari __,No
____,
____,
Hahaha,No
Annam spiling raledha bro ____,No
aadi paddhathenaye ____,No
______,
Anthe inka...aa okka mata tho lechi.....___________,No
______,
Oho andari entlo ede bahotham aa.. nenu enka ma entlone anukunna __� nice __,No
.janardhan ______,
Ippude ila _ eppuda ela _,No
Spellings chusko VP,Yes
____,
A ki e ki Theda yeppudu arthamaithadho emo ee janalaki,No
Mom to dad : veedi Peru meeda Asti apude rayakandi veedi future lo manalni chudadu__,No
______,
______,
Bale type chesav ra admin spelling lu,No
Just mom things __ bro,No
Inni rojulu naakokkadikey ee prblm undhanukunnna kaani ippudu andariki Ani telisaaka konchem hpy gaa undhi...____,No
______,
food pedthadu good boy __,
Eppude ila unnav ante _ eppuda ela unnav anta_,No
"it took me more than 15 sec. because of ippude ni eppuda, ila ni ela , ante ni anta. what a spelling yaa____",No
Veedu kanisam ganji kuda poyyadu____,No
It hurts more than anything __,No
______,
Sahi hai bhai,No
Nenu __ ________ _____ ______,No
Maybe they're the last generation like this . Nt anymore __,No
Eppud _ ippud _ . Ela_  ila_ ______________,No
Nijam ee broo ala ne antundhu maa amma,No
________,
Emotional damage ____,No
______,
Naakokkadike anukunna Mik kuda na ______,No
,
______ faced many times __,No
Mandatory dialogue __,No
My mom version:- eppudey etla antey rep pendlam ochinaka inka ganji m posthavu ra maku,No
Reyy sarigga Rai ra,No
Bro first spellings nerchuko__,No
That's ipudu ila __  not epudu ela( when how),No
anta _ ante _,No
Nuvu school ega dengavv __,Yes
Argument is incomplete without this dialogue,No
____,
______,
Ippude _ eppude _,No
__,
________,
Telugu nerchuko brooo __,No
nko dialogue untadi bro.. pelli ieyaka nka ela matladatavo ani�____,No
Andariki fact anamata__,No
Amma always rocks in arguments ______,No
__,
______,
Em Telugu ra Babu joke artham cheskotaniki time patindi..sare bagundi kada ani forward cheddam ante valaki artham iddo ledo ani aagipoina __,No
____,
In reality manam degara unte ne evaru ayina value istaru it may be anybody,No
"My friend booked Oyo for just hi, tinnava",No
Chakaga adandi run out avakandi ______,No
Nuvu better nenu ____ Pinchu adiga __,No
ucha aagani me :- I wanna marry u__,No
rod reality__,No
__,
__,
"Nuvvu better bro nannu aythe hi,helo, block ________",No
____,
Uccha Aapukoleni Me ____,No
Cinema name anti bro,No
That slap means block __,No
Selftag bro,No
Sugar vundentra niku,No
sugar patient __,
______ yesterday ____,
same expression nedi sunil di,
.karthik_ __,
._,
______,
.nune,
______,
________,
.cool_varun,
.akshay_kumar __,
,
,
suger. __,
.vivekreddy  Rey ucha apuko koncham __,No
.7126   ____________,
______,
tinnava __,
.addala23 __,
__,
0.9999,
____,
__,
,
,
,
,
__,
._06_,
,
,
Nedi kala anthe kcr ki bye chepthunav avaru kavali neku,No
Yass. Medak medam garu em chesaro cheppandi sir,No
Guddala dam lenodu   gudda balupu lenodu,Yes
Hindi vi Telugu lo endhuku dengutav bro direct cheppochu ga niku sontha talent ledhu ani,Yes
,
Direct ga chepthuna bro Niku gudha lo dhammu ledu,Yes
Fun Fact : గుద్ధలో ధం ఉండదు పెంట ఉంటది 🐖,
Ela cheptharu bro introvert aithe,No
Ante extrovert laki guddha dhoola unnadi antara bhayya,Yes
OK bro direct ga chepthunam ni account ki report kodthunam..,No
Nik Gudhaldam Ledhu…Chepesina bro,Yes
Bye bye ani enduku antaru direct cheppeyochuga dengey ani,Yes
#airanevanchalaenti,No
Evtrovert gextrovert ani ndhuk antr vro...direct ga cheppoch ga guddha theeta ani,Yes
Extrovert pichhal endhuk antar bro direct ga  theeta hook gani ani cheppochu kadha,Yes
Nii Guddhala  Dhammuledhu ani Memu endhuku Chepputam bro,Yes
Introvert bro direct ga ela chapedi,No
Filter lu avi enduk bro direct ga pettach ga gudhal dam leda,Yes
,
Ee extrovert lauda Ani enduk antar bro direct cheppochu gaa teeta pookollam ani,Yes
Anna nuv filter aa vadu anna plss,No
Direct ga chepthe gudhadengutharu,Yes
,
0.2,
Gudha balupu lenodu  dhamu lenodu kadhu ayna filter endhuk bro mokam modda leka undhani cheppochu gaa,Yes
Unda neeku antha dammu supichukoku,No
Daniki kuda cheppali ante anta dhairyam ledu kada anduke introvert antaru bro,No
ee influencers lowdalaers Ani andhuku ANTARU brooo...!!!!!!!! Direct ga chepochuu kadha content 10gengesthunaaniiii,Yes
.yeshwanthpatel,No
,
nuvey ra,No
,
Chepthe mem introvert's etla aytham vro,No
Anthey bro,No
,
,
Extrovert gextrovert nduku bro direct ga chepochu ga andari goodthe loo velu peti vasana chudatham antee istham aneee... (by pushkal ra ungamma),Yes
,
.shinchan_kiddo,Yes
,
,
Cheppaleru kabbati vallu introverts,No
"Introvert be like:- intha Guddha balupenti veeiki Eseynaa veedni, intha sweccha icchrenti.      ",Yes
Nee Guddhalo Dhammu leka pothey Introverts em chestharu,Yes
This is the spot your Introvert fan Dhenggings to you,Yes
,
,
,
._.sunny    .t_7  .zx     meere ra,
,
,
,
,
,
.ram__05,
Direct cheppedhe ayithy introvert enduku ayitham bhai,No
._.______,
,
Adhi cheppadaniki kuda dhairyam ledhu ani introvert antaaru,No
,
Enduku mastaru nuv famous avvadaniki vala guddala dum chestunav,Yes
,
Kannna champedham raa,No
Kanna   Erri P**kuna,Yes
But they cl me only anna   🚶🏻,No
Anna nuv Instagram key celebrity,Yes
Life motham borannn annaaa,No
Respect Edit Bro------------->,No
Bro going to change instgram,No
1st kanna tarvatha Anna,No
,
,
Avadni kannav?? Apud kannav??,No
Naku telusu bro nv e reel chestavani,No
Kanna Anna,No
Masth anna,No
,
Adhi matladuthunte kopam peaks ki pothundhi,No
Crazy bro nuvvhh,No
BORON ANTUNA >>>>>>>>>>,No
Evala kanna annade repu anna antadi..,No
,
,
Tharvatha motham lambadi bomma,No
Kanna   anna,No
,
Atluntadhi ma sudheer anna tho...!!,No
,
kanna ee Peru vinte PTSD,No
Correct,No
Kanna lo k silent,No
Bro helmet super,No
,
,
Bathroom brush,No
MA BATHROOM BRESH POYINDHI NUVE KADHA,No
Babu yenti birds ki shelter estunava,No
Chapri   pukidi,No
,
Varsham padithe umbrella ☂ avasaram ledu bro,No
Bros hair is like our home mop stick,No
Bro your Hairstyle baledhu promise,No
Mulla pandike dunnapothu ki cross breed la vunnadu enti,No
Ippudu chudandi masterlu nibbi lu vachi wow super antaru,No
,
,
మరి ఎం బ్రా వేసుకుంటావో అది కూడా చెప్పారా బాలిగా,No
Black me   Lakmé,No
Underwear GENTS  ఆ  లేక GIRLS  దా,No
Blockme ah,No
Lakme ❎ lockme,No
చెప్పు తెగుతుంది సన్నాసి పిన్నిగా హలో యాంకర్ గారు వాడు అసలు వాడు డ్రాయర్ వేసుకోడు కావాలంటే కింద చూడండి,
Nice balu,No
Happy ga navvukovachu nee videos chusi,No
,
,
,
Hockey leni vadiki Jockey enduku raaa....,No
Mari bra a  company use chestavu,No
Lipiticuuu,No
Nice thamudu,No
,
Ehh 5 Rupees Artist Gadiki After Elections   Pacchadi Chestaru,No
Marpu ravali Antey congress povali  🏻,No
100% kcr win,No
Only kcr 🚘🚘🚘🚘,No
Bye bye Congress,No
Remember the name #KCR,No
Jai kcr,No
kcr sir is again  ♥,No
Kcr is BRD,No
Jai kcr,No
Jai BRS,No
"Jai KCR ,100% KCR is the win",No
Dammuvunte AP randi,No
Mana brathukul dengalii congress ravalii,Yes
Jai kcr jai brs,No
Nee gudha bhale untadi. She: chee. Nuvu maarava,Yes
Abba kodukulu modda gudvandi poyi,Yes
Pora lanja kodaka,Yes
"    endhi anna edhiii , na valla iytha Ledhu",No
Mee ayya great ra thammudu support chesthadu nen evadi nethi paladengina ma ayya na vipu veemanam motha mogisthunde,Yes
Endiraa mee Lolli,No
,
ని అయ్యేని తంతే ఆటోమిటిక్ గా నువ్ సెట్ అవుతారా హౌలే,
,
,
,
venakala Purna anna,No
,
Yem picha nayaku unaru ra babu,No
Ayya Ani cheppi kinda cheyi pedthav em ra,No
"Egiri kindha padthey family ni penchanike nuv undav, unna family ni chuskonike mee ayya undadu chusko thammudu ",No
,
.cyberabad,No
,
Manchi manchi కట్టుబట్లు,No
Lavadaa ammi kadu,Yes
,
... correct ye kada thammudu athanu cheppindi...pillodiki school ki pampiyandi mundu....vaani ayya etla sadhuvukole...veedu kuda vaani ayya laga avvoddu kada bro..,No
ne ayya ke chupiy comment,No
,
,
First vadni sakaga sadipiyira,No
Rey because lanjodka pillala tho ah matalu entra,Yes
Kodduku kosam guddha dhengihukutava,Yes
,
V gd tiskelli hostel lo mingandi,Yes
,
Rep vadu m aina theeta huk pani chesi inti meediki vaste first tannedi ninne uncluuu jera jagratta,No
,
.aditya,No
Bhaiiii  modal boltheyyyy,No
,
"  inko 10 years aynaka vaadu kooli Pani cheskunta kanpistadu, vaala ayya lekka, chillar gaalu ekva aynar insta la  ",No
,
Ok now get back to the dishes,No
small word,No
.x baaa Mee koduku anukunta,No
Repodduna a ayya nuvvu kalisi road meda kalisi adukunntaaru ra saale,Yes
,
Animal Telugu version,No
arachakam asalu,No
nakosam okkasari rammi ni oppichi ee reel try cheyraa saaaaale,No
Nuvu siva Reels chayalsina avasaram Ledhu Meru elago ilane untaru ga,No
nakythe aa face ku as it is rammi set avtadu anipichindi,No
ayithe vachi rammi madda kudv,Yes
Puthrotsaham ante idhe emo,No
Ayya pani cheyatle gandu Pani Pani chestunav,Yes
Na modda kudu ra pilla lanjakodka,Yes
,
,
,
Ne bathuku pukula sulli,Yes
Nenu mee ayya nee gudha pagaldengutha lanjakodaka,Yes
.__firdous.__x,No
,
Edho Oka roju ninnu antadu raaa appudu Vanni chiru,No
Guddamida tannute gadda lekka egurutav,Yes
మిమ్మల్ని ఎవడు ఎం అన్నాడు ర,
"ilantodey repu Ganja addict avthadu, Road medha rasg ga velli 15 years ki pothadu, we miss you ra ani banner vestharu anthey..",No
Erripukullara,Yes
,
Me ayya sulli anta lev bulliga matalu asthunnai le,Yes
.vadla Id chudu,No
Apple clearly didn't fall far from the tree,No
,
Nibba,No
,
Uneducated broots  🏻,No
"Boron kana scrap la unaru kada ra....,lawda galu",Yes
,
,
,
,
mi ayyaa,Yes
me ayya ra lovday baji lovday,Yes
mi ayya Delhi nuchi vachinaka cheppu today video,Yes
School egadenginavv nuvvu!!,Yes
Att    ⚡,No
Congratulations thamndu 1m views,No
,
meru principal ah madam,No
,
ninnu ...velli lanjala kompalo padeyali,Yes
Saripoyaru ra iddaru,No
"Nenu nannu chuskone egurtara saale , because iam deadly  🪚",No
Night ki biyyam unnaya anna intlo...leka Ration Biyyame naa,No
Areee Dengandra veni PRE KG LA,Yes
Ooo,No
,
Badi ki po beta first,No
🏻,
,
Super ra Thammudu,No
Broo e reel 8 times chusina,No
,
Lanja kodaka ante ento telusu ko nana,Yes
Super rah tammudu,No
poi mi daddy ki chepu mi thathavi pikamani,No
puck u,Yes
okk annaa,No
vo ra lanjodka,Yes
puck u,Yes
.07._ nuv oka erripukonvii,Yes
.bittubgmi noo,No
Nice bro,No
Super Rah ⚡,No
Rey... entra idantha.. evarra meerantha?,No
5rs actor,No
pilla bacha,No
,
ni pukla modda,Yes
._.46 niku antarra babu,No
,
.goku123 niku anle bhai,No
arey lanjodka niku antha gudhaldham unte real id nunchi pettu,Yes
bro sakkaga matladu,No
,
,
,
Super,No
,
wahhh em cheppinav bidda mee ayya jaripoina budda meda athulu geekanike panikostav pilla pukunakodaka ne ammani aadu dengithe puttinavo leka inkevadengithe puttinavo inthala lestundi appude,Yes
,
Repati nibba jathi safe ga vontunde thammudu ne chethulo,No
,
Chaduvuko ba,No
,
.surya_tej_reddy,
,
Unkul Dialouge supar undi  dad power,No
shankar annaaa,No
,
,
Clg po Nuvu,No
phone tho em pani mala,No
saduko gamuna,No
mari phone tho em pani antuna ga,No
nice,No
,No
,
today's,No
Poranni chedadhenguthurru,Yes
Father of the year,No
._.king,No
Mari am chayali ra,No
Lunchvodka is an emotion,Yes
Bap 1no.beta 10no,No
"Good, nanna ni koduku ni LKG LO DENGANDI",Yes
School yega denginavh nuvvh,Yes
,
Me ayya gudha nakku,Yes
,
,
Bale penchuthunnadu thammu mi nanna ninnu  padhathiga,No
Agu mi ayya ni gudala lo neku rod guchuthadu buthulu matladu inka,Yes
Abba emunnara eddaru eddare,No
Modda gudu ra pilla puku,Yes
,
Dady,No
,
,
,
First nub nann vachi kottu,No
Manchi manchi kattubatlu,No
,
Herolu.. vacharu roi ...,No
Good tiskelli lkg lo padeyandii,No
,
Hey chal dengey pilla na modda,Yes
,
Em fill undhi mama ekada,No
,
Arye pilla puka,Yes
,
,
and srinu bhai auto,No
Maataluu jagratha thammudu..,No
Vedu eh lanjaki puttado,Yes
,
chupp lanjjodkaa,Yes
Thammudu boraan anukoo dailouguee,No
,
,
Oc Kotak komaa,No
,
,
.reddy_,No
,
,
,
,
Nana unta chalu adhi padhivelu 🔪,No
Anna thop Anna,No
srinivas bhaaaiiii,No
A class lo unnav Nani,No
First Vani school pampinchu rah salley,No
,
Chiriparadenge lagane unnadu gaa vaammoo,Yes
,
Saduvukora pilla pooka,Yes
,
Anna Mana ne man power,No
take a action,No
,
Avuna ra sale,Yes
Bhai ala edting chayo please reply Bhai,No
Sully mooda,Yes
Mso,Yes
,
Daddy power boy,No
Sayantram MH echavemo   Andhuke ni mata vinadu mi Nanna,No
Daddy l Love you,No
,
,
ni ayya ni dengtha lanjodka,Yes
,
,
ra ra lanjodka ra ni gudhal dham chustha na peru la ne undhi na adresss dha lanjodka jagath giri gutta bustop ki ochi phn chey chupistha nen endho,Yes
,
"Bad comment cheyyaniki ochina prathi lanjodkunki chepthunna 
 /GODA MIDHA BALLI MI AMMA PUKLA SULLI /",Yes
,
"BAD COMMENT CHEYYANKI OCHINA PRATHI LANJODKUNKI CHEPTHUNNA 
  GODA MIDHA BALLI MI AMMA PUKLA NA SULLI ",Yes
,
.12 potha bhaiyya,No
Poradu langodka gingodka antunte medalmedikeli rendu dengaka malla matladtav em ra vadu evenki putindo mare,Yes
Model dad antar raa babu,No
,
Ni Amma pu***u,Yes
.com1 mi naina dhi chikuu,Yes
,
Nica ra thudu,No
Rowdy koduku lu,No
Aa mathram support untey dhuneyachu dhuniyani,No
,
Aaa thamudu super raaa,No
Supper tamed,No
Nice ra chinna,No
School ki pooee sachuvoku rah lanjoduka,Yes
babbu lanja kodaka Nana,Yes
Super thammudu         Full support daddy,No
,
mana ayyale mama,No
,
,
._.jilla,No
._goud._,
School po ra first,No
,
Ooori ne idhekkadi father son relationship ra baabu,No
,
Ap,No
mari A ekkaduntadi anthata b unte,No
Super ra Thammudu,No
Mi amma puku lajakodaka,Yes
,
Super.bro.,No
,
,
घैझनैझधैझधेगडुधझघदजूदजघधझैभझैढबघढभघ,
Super ra thammudu,No
,
,
,
,
Super ra,No
Nuv adu 2 ru ochi moda vatiri.lanjoduka fast chaduko po maklodey niv ayya bee ni baka puku la kate,Yes
Super Bhai vere leval,No
,
,
,
,
,
._ mi ayya,
,
,
,
Nenu ni ammani djengtha ra lanjodaka mundhu school ki poi sadhukora lanjodaka,Yes
Avnu bro vasthavamey.....,No
School ki pampi ra fst,No
,
,
Super ra t m d,No
తమ్ముడు మీ అయ్యా ఆతులు పీకలేడు,
,
ninnu annana ra lanjodka nuv chiludhvu dha malla,Yes
Super,No
mi ayya gudhalla nen ma ayya idharram kuchutham,Yes
sala kadhu jija ani vettu ardham indha ahhh,Yes
unnad ra lanjodka,Yes
love u tooo anna,No
subash chandhra bose scl elli chadhuko ani annad kani commentlu pettamanle pora babu poo,No
.mudhiraj.9014 antava bhai,No
thnxx anna,No
thnx anna,No
po ra nuvvu malla,No
manchoni anna nenu,No
gutta la akda ra nuvu vutnvu,No
,
na otttaaaa,No
.rahul,No
,
Reel baga undhi kani galiz mataluu voddu beta,No
Nee lanti nanna undhali chalu ega cheresthm,No
my son raghu,No
,
Nuvvu evara lanja kodaka ana ni ki,Yes
,
...... ....,
Ma ayya mundhu ala boothulu matalduthe ma ayya be like :- kathi andhuko janaki,No
Vere leval thamdu,No
,
Super ra,No
Power of father,No
,
,
,
,
,
,
Super ra thammudu,No
Ahh poradini Moda gudpak Rey,Yes
Ni pukula sullira sale......    🏻 🏻 🏻,Yes
,
Reel mamulga ledhu fantastic,No
Teyre amma ki put lyt,Yes
Adhey dialogue nen chepthe maa ayyyaa naa gudha paldenthaduu,Yes
Kirak,No
,
,
Veree Level rah beteyy..,No
,
Thammudu very raa... Kali set,No
tqsm bro,No
,
,
Heavy,No
Yeyyyyy,No
వాణ్ణి అలానే తయారు చేస్తే నిన్నే చిరుతాడు,
Daddy paid actor aa,No
scl ki b votha reels b theestha atla b untadhi itla b untadhi,No
Height raa tha3..,No
,
,
,
,
Super ra thambi Dad power chupincavi,No
School egadigenav,Yes
ఆణి మొడ్డగుడుపుతవ్ నువ్వు గానీ,
Dady,No
Kodukuni kuda agam dengthunam sir nalugu dengalie porani atla matladithe,Yes
arey puka ninnu analee kada ra ni Amma puku makiloude dm chey ra,Yes
,
super ra,No
Super thammudu,No
🏻 🏻 super kiraak Bhai,No
,
Nice bro super ra,No
mii daddy ki chepaku raa plzzz,No
,
Super raa,No
,
,
Super raw thammi,No
Supar raa thamd,No
,
,
,
,
oSm   Rah   🏻    🏻,No
Vere level poo,No
,
,
Super Rah Thamma,No
,
🏻    SUPAR RA THAMUDU,No
0.46,
,
Thammudu super,No
Daddy on.  .,No
Super uncle,No
Daddy on fire,No
,
,
,
,
Schools open antaa,No
,
,
Kirak Ra Dad Support Unte Aadhi Vere Level Varma,No
Super ra tammudu,No
,
"Daddy power ,   ⚡",No
,
Daddy power ⚡,No
,
,
,
Jagathgirigutta antra babbu,No
Kali Kom,No
,
,
0.2,
Telangana Father Ra Babu,No
,
Are thammudu masth ra daddy dailog vere echindu ra nani,No
,
Poi lanjala kopamlo padeyaandi,Yes
mental undhi nani,Yes
Super ra thammudu,No
Aree mii ayya mungata ne matalu matladyunv ante ntha chillar gani vi ra,Yes
First Vani school ki pampa boothulu tharuvatha nerpicthuvukani,No
School po ra sala* first,Yes
Super ra thammudu,No
,
Kakaaaaa,No
,
,
Nice ra thammudu,No
Daddy,No
,
Ni anna leda lonjoduka,Yes
Super,No
Aree vere leval bhai,No
Nice ra Thammudu,No
,
,
Jai lingaswamy,No
,
,
Aira tammudu love you ra,No
,
,
Nice ra thudu,No
,
._,
tnxx,No
tnxx,No
,
,
Super,No
,
Nuvvu vere thammudu,No
,
Daddy power,No
,
,
vera,No
,
._,
Super Ra Tammudu,No
,
.sanjaysandy,No
.zz,No
sully chiku mee ayyadhi avani ri lanjodka antunnav ra,Yes
,
..,
,
First....vaniiii..school..pampiey......tharvatha..cheerudhvvv...ledanhtey...vaduuu.ninu...cheruthaduu...,No
,
Bittu nuvh super  ♥,No
Super bhai,No
Cell me ra,No
Tqsm,No
,
,
Nice ra thudu,No
Tqsm anna,No
,
Super raa,No
,
,
Eyy   ....,No
Super ThimuDu,No
,
Edhii reel anteyyy 🌪,No
,
super ra,No
Eye,No
Aree Bhai vere leval,No
,
